host_response_time,host_response_time_skala,host_identity_verified,host_is_superhost,host_total_listings_count,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy
within an hour,1,1,0,6,Lichtenberg,House,Entire home/apt,5,1,2,5,Real Bed,65,0,40,1,5,365,10,34,44,305,34,84,0,strict_14_with_grace_period
within an hour,1,0,0,2,Mitte,Apartment,Entire home/apt,4,1,1,4,Real Bed,75,0,35,2,4,365,4,14,22,28,107,90,1,strict_14_with_grace_period
within an hour,1,0,1,3,Lichtenberg,Apartment,Private room,2,1,1,1,Real Bed,38,100,17,1,3,14,0,3,7,7,125,94,1,flexible
within an hour,1,0,0,2,Friedrichshain-Kreuzberg,House,Private room,4,1,2,4,Real Bed,98,200,30,4,2,30,3,3,3,77,9,97,0,moderate
within an hour,1,1,0,2,Mitte,Apartment,Entire home/apt,4,1,2,3,Real Bed,74,150,35,2,2,21,7,12,14,14,336,88,1,strict_14_with_grace_period
within a day,3,1,1,3,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,0,1,Real Bed,50,0,25,1,3,30,0,0,0,133,92,95,0,moderate
within an hour,1,0,0,1,Pankow,Apartment,Entire home/apt,3,1,1,1,Real Bed,170,0,0,2,1,365,18,48,78,353,39,96,1,strict_14_with_grace_period
within an hour,1,0,0,2,Charlottenburg-Wilm.,Apartment,Private room,1,2,1,1,Real Bed,38,200,30,1,7,365,6,6,33,308,10,93,0,flexible
,,0,0,1,Tempelhof - Schoenenberg,Apartment,Private room,2,1.5,1,1,Real Bed,25,0,0,1,1,730,0,0,0,0,10,83,0,flexible
within an hour,1,1,0,1,Mitte,Apartment,Entire home/apt,2,1,1,1,Real Bed,88,0,49,2,3,120,5,5,11,46,204,95,1,moderate
,,0,0,1,Charlottenburg-Wilm.,Apartment,Entire home/apt,2,1,1,1,Real Bed,50,0,10,3,1,1125,0,0,0,0,6,100,1,flexible
,,0,0,2,Neukoelln,Apartment,Entire home/apt,4,1,2,4,Real Bed,100,0,60,2,5,730,23,53,83,358,0,,0,strict_14_with_grace_period
within an hour,1,1,0,1,Mitte,Apartment,Entire home/apt,2,1,1,1,Real Bed,70,150,30,1,3,30,2,3,3,3,27,99,0,moderate
within a day,3,1,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,5,2,3,3,Real Bed,195,800,75,1,7,25,0,8,8,8,9,100,0,moderate
,,1,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,300,30,1,2,500,0,0,0,0,0,,0,strict_14_with_grace_period
within an hour,1,1,1,2,Tempelhof - Schoenenberg,Apartment,Entire home/apt,3,1,2,3,Real Bed,90,500,50,2,30,30,0,0,0,0,2,80,0,moderate
within a few hours,2,1,1,1,Charlottenburg-Wilm.,Apartment,Private room,2,1,1,1,Real Bed,35,0,45,1,5,120,5,6,6,279,35,98,0,strict_14_with_grace_period
within an hour,1,1,1,1,Mitte,Apartment,Entire home/apt,5,1,1,3,Real Bed,165,0,40,4,3,21,6,18,36,288,276,95,1,strict_14_with_grace_period
,,1,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Pull-out Sofa,55,0,30,1,2,21,7,7,7,7,0,,1,moderate
within an hour,1,1,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,2,Real Bed,32,100,20,1,4,760,0,0,0,0,5,95,1,flexible
within an hour,1,0,1,1,Mitte,Apartment,Private room,1,0.5,1,1,Real Bed,35,0,30,1,1,3,12,24,53,320,182,96,0,strict_14_with_grace_period
within an hour,1,0,0,2,Charlottenburg-Wilm.,Apartment,Private room,1,0,1,1,Real Bed,51,500,5,1,1,27,20,50,80,347,8,86,1,flexible
within an hour,1,0,1,1,Neukoelln,Apartment,Private room,2,1,1,1,Real Bed,35,0,20,1,2,31,2,5,24,24,201,98,1,moderate
within an hour,1,1,0,1,Mitte,Apartment,Private room,3,1,1,2,Real Bed,45,0,0,1,3,22,2,3,16,127,390,96,1,moderate
within a day,3,0,0,1,Charlottenburg-Wilm.,Apartment,Entire home/apt,2,1,1,2,Real Bed,60,200,75,2,30,365,10,21,22,204,18,93,0,strict_14_with_grace_period
within an hour,1,0,0,1,Steglitz - Zehlendorf,Apartment,Private room,2,1,1,1,Real Bed,45,200,0,1,2,15,27,57,75,350,31,96,0,moderate
within an hour,1,1,1,2,Mitte,Apartment,Entire home/apt,4,1,2,2,Real Bed,86,0,30,2,1,45,3,7,15,58,445,96,1,flexible
within an hour,1,1,0,4,Mitte,Apartment,Entire home/apt,2,1,1,2,Real Bed,69,500,60,1,60,1125,1,1,4,279,195,94,0,strict_14_with_grace_period
,,1,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,3,1,1,1,Real Bed,45,400,50,1,2,28,0,0,0,0,6,100,0,moderate
within an hour,1,0,0,1,Mitte,Apartment,Entire home/apt,2,1,1,1,Real Bed,70,0,40,2,30,300,3,3,14,216,4,100,0,moderate
within a day,3,0,0,4,Treptow - Koepenick,Apartment,Entire home/apt,4,1,1,3,Real Bed,50,100,30,1,2,365,18,48,78,78,2,100,1,strict_14_with_grace_period
,,1,0,1,Mitte,Apartment,Entire home/apt,5,2,3,3,Real Bed,110,0,40,4,5,365,0,0,0,102,29,98,0,strict_14_with_grace_period
within a few hours,2,1,1,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,4,1,2,2,Real Bed,75,200,35,2,28,900,0,0,0,240,44,97,0,moderate
within an hour,1,1,1,1,Treptow - Koepenick,House,Private room,1,1,1,1,Real Bed,32,0,0,1,1,30,0,0,0,194,200,99,0,flexible
